,lines_x,stations_x,Boro,2007,2008,2009,2010,2011,2012,2013,2012-2013 Change,12/13 %,2013 Rank,07/13 Change,7/13 %,index,lines_y,stations_y,3,4,k-means label
88,NQ ,36 Ave ,Q,7193.0,7395.0,7187.0,7352.0,7194.0,7669.0,7688.0,19.0,+0.2%,195.0,495.0,6.881690532462116,36AveNQ,NQ,36Ave,40.756804,-73.929575,0
89,DNR ,36 St ,B,10578.0,11151.0,10852.0,11135.0,11411.0,11946.0,12059.0,113.0,+0.9%,130.0,1481.0,14.000756286632635,36StDNR,NR,36St,40.655144,-74.003549,0
90,MR,36 St ,Q,3262.0,3354.0,3743.0,4003.0,4340.0,4502.0,4540.0,38.0,+0.8%,312.0,1278.0,39.17841814837523,36StMR,MR,36St,40.752039,-73.928781,3
91,NQ ,39 Ave ,Q,2110.0,2269.0,2562.0,2833.0,2768.0,3044.0,3262.0,218.0,+7.2%,359.0,1152.0,54.59715639810426,39AveNQ,NQ,39Ave,40.752882,-73.932755,3
92,FG R ,4 Ave ,B,10205.0,10789.0,10895.0,11412.0,12479.0,13471.0,13156.0,-315.0,-2.3%,119.0,2951.0,28.9171974522293,4AveFGR,FGR,9St,40.670847,-73.988302,3
93,7 ,40 St ,Q,10513.0,10725.0,10433.0,10620.0,10751.0,10919.0,11100.0,181.0,+1.7%,144.0,587.0,5.583563207457433,40St7,7,40St,40.743781,-73.924016,0
94,BDFM7 ,42 St ,M,47175.0,48939.0,46431.0,47741.0,50375.0,51962.0,53222.0,1260.0,+2.4%,15.0,6047.0,12.818229994700584,42StBDFM7,BDFM7,42St,40.754222,-73.984569,0
95,R ,45 St ,B,7052.0,7303.0,7171.0,7059.0,7218.0,7070.0,6978.0,-92.0,-1.3%,215.0,-74.0,-1.0493477027793534,45StR,R,45St,40.648939,-74.010006,0
96,MR,46 St ,Q,9592.0,9860.0,9222.0,9246.0,9399.0,9482.0,9529.0,47.0,+0.5%,167.0,-63.0,-0.6567973311092578,46StMR,MR,46St,40.756312,-73.913333,0
97,7 ,46 St ,Q,14145.0,14561.0,14273.0,14389.0,14479.0,14499.0,14656.0,157.0,+1.1%,105.0,511.0,3.6125839519264757,46St7,7,46St,40.743132,-73.918435,0
98,BDFM ,47-50StsRockefeller Center ,M,61560.0,60818.0,55402.0,56758.0,59979.0,59749.0,61099.0,1350.0,+2.3%,12.0,-461.0,-0.748862897985705,47-50StsRockefellerCenterBDFM,BDFM,47-50StsRockefellerCenter,40.758663,-73.981329,0
